row_index,url,reason,http_status
10797,,no_url,
10798,www.greenmountprimary.co.uk/,host_not_exist,
10802,,no_url,
10804,,no_url,
10805,,no_url,
10809,,no_url,
10810,,no_url,
10814,,no_url,
10820,,no_url,
10823,,no_url,
10825,,no_url,
10826,,no_url,
10827,,no_url,
10829,,no_url,
10832,,no_url,
10836,,no_url,
10837,,no_url,
10840,,no_url,
10841,,no_url,
10842,,no_url,
10843,,no_url,
10847,,no_url,
10848,,no_url,
10853,,no_url,
10855,,no_url,
10856,,no_url,
10861,http://www.st-edwards.leeds.sch.uk/index.htm,http_403,403
10862,,no_url,
10863,,no_url,
10864,,no_url,
10866,,no_url,
10868,,no_url,
10871,,no_url,
10872,,no_url,
10874,,no_url,
10876,,no_url,
10880,,no_url,
10881,,no_url,
10883,,no_url,
10884,,no_url,
10886,,no_url,
10887,,no_url,
10889,,no_url,
10893,,no_url,
10894,,no_url,
10896,,no_url,
10898,,no_url,
10899,,no_url,
10902,,no_url,
10905,,no_url,
10909,,no_url,
10910,,no_url,
10911,,no_url,
10912,,no_url,
10913,,no_url,
10914,,no_url,
10915,,no_url,
10916,,no_url,
10917,,no_url,
10918,,no_url,
10919,,no_url,
10920,,no_url,
10921,,no_url,
10922,,no_url,
10923,,no_url,
10926,,no_url,
10927,,no_url,
10929,,no_url,
10930,,no_url,
10931,,no_url,
10933,,no_url,
10935,,no_url,
10936,,no_url,
10938,,no_url,
10939,,no_url,
10940,,no_url,
10941,,no_url,
10942,,no_url,
10943,,no_url,
10945,,no_url,
10946,http://www.mountstmarys.org/,host_not_exist,
10947,,no_url,
10948,,no_url,
10950,,no_url,
10954,,no_url,
10955,,no_url,
10956,,no_url,
10960,,no_url,
10961,,no_url,
10964,,no_url,
10965,,no_url,
10967,,no_url,
10970,,no_url,
10971,,no_url,
10973,,no_url,
10974,,no_url,
10975,,no_url,
10976,,no_url,
10977,,no_url,
10978,,no_url,
10979,,no_url,
10980,,no_url,
10981,,no_url,
10984,,no_url,
10985,,no_url,
10987,,no_url,
10988,,no_url,
10989,,no_url,
10991,,no_url,
10992,,no_url,
10993,,no_url,
10994,,no_url,
10995,,no_url,
10996,,no_url,
10998,,no_url,
10999,,no_url,
11000,,no_url,
11002,,no_url,
11003,,no_url,
11004,,no_url,
11005,,no_url,
11006,,no_url,
11008,,no_url,
11009,,no_url,
11010,,no_url,
11011,,no_url,
11012,,no_url,
11013,https://newton-hill-community.eschools.co.uk/website,host_not_exist,
11014,,no_url,
11015,,no_url,
11017,,no_url,
11018,,no_url,
11019,,no_url,
11021,,no_url,
11022,,no_url,
11023,,no_url,
11024,,no_url,
11025,,no_url,
11026,,no_url,
11027,,no_url,
11028,,no_url,
11029,,no_url,
11030,,no_url,
11031,,no_url,
11032,,no_url,
11033,,no_url,
11034,,no_url,
11035,,no_url,
11036,,no_url,
11037,,no_url,
11038,,no_url,
11039,,no_url,
11040,,no_url,
11041,,no_url,
11042,,no_url,
11043,,no_url,
11045,,no_url,
11046,,no_url,
11047,,no_url,
11048,,no_url,
11050,,no_url,
11051,,no_url,
11052,,no_url,
11053,,no_url,
11054,,no_url,
11056,,no_url,
11058,,no_url,
11062,,no_url,
11063,,no_url,
11066,,no_url,
11068,,no_url,
11069,,no_url,
11070,,no_url,
11071,,no_url,
11072,,no_url,
11073,,no_url,
11074,,no_url,
11075,,no_url,
11076,,no_url,
11077,,no_url,
11078,,no_url,
11079,,no_url,
11080,,no_url,
11081,,no_url,
11082,,no_url,
11083,,no_url,
11084,,no_url,
11086,,no_url,
11087,,no_url,
11088,,no_url,
11089,,no_url,
11090,,no_url,
11091,,no_url,
11092,,no_url,
11093,,no_url,
11094,,no_url,
11097,,no_url,
11099,,no_url,
11100,,no_url,
11103,,no_url,
11105,,no_url,
11106,,no_url,
11107,,no_url,
11108,www.allsaints-normanton.wakefield.sch.uk/,host_not_exist,
11110,,no_url,
11111,,no_url,
11112,,no_url,
11113,,no_url,
11114,,no_url,
11115,,no_url,
11116,,no_url,
11117,,no_url,
11121,,no_url,
11122,,no_url,
11123,,no_url,
11124,,no_url,
11125,,no_url,
11126,,no_url,
11127,,no_url,
11128,,no_url,
11129,,no_url,
11130,,no_url,
11131,,no_url,
11132,,no_url,
11133,,no_url,
11134,,no_url,
11135,,no_url,
11136,,no_url,
11137,,no_url,
11138,,no_url,
11139,,no_url,
11140,,no_url,
11141,,no_url,
11142,,no_url,
11143,,no_url,
11144,,no_url,
11145,,no_url,
11146,,no_url,
11147,,no_url,
11148,,no_url,
11150,,no_url,
11151,,no_url,
11153,,no_url,
11157,,no_url,
11158,,no_url,
11159,,no_url,
11161,,no_url,
11162,,no_url,
11163,,no_url,
11164,,no_url,
11165,,no_url,
11166,,no_url,
11167,,no_url,
11168,,no_url,
11171,,no_url,
11173,,no_url,
11174,,no_url,
11175,www.southstreetprimary.org/,host_not_exist,
11176,www.bedecommunityprimaryschool.org/,host_not_exist,
11177,,no_url,
11178,,no_url,
11180,,no_url,
11181,,no_url,
11183,,no_url,
11184,,no_url,
11185,www.portobelloprimary.eschools.co.uk/,http_308,308
11190,,no_url,
11192,,no_url,
11193,,no_url,
11194,,no_url,
11196,,no_url,
11202,,no_url,
11203,,no_url,
11207,,no_url,
11211,www.whitemereprimary.org,host_not_exist,
11213,,no_url,
11214,,no_url,
11216,,no_url,
11217,www.brightonavenueprimaryschool.org/,host_not_exist,
11219,,no_url,
11224,,no_url,
11226,,no_url,
11230,whickhamparochial.org,host_not_exist,
11231,,no_url,
11232,,no_url,
11233,,no_url,
11234,,no_url,
11235,,no_url,
11236,,no_url,
11237,,no_url,
11238,,no_url,
11239,,no_url,
11241,,no_url,
11242,,no_url,
11243,,no_url,
11244,,no_url,
11245,,no_url,
11246,,no_url,
11247,,no_url,
11248,,no_url,
11249,,no_url,
11250,,no_url,
11251,,no_url,
11252,,no_url,
11253,,no_url,
11254,,no_url,
11255,,no_url,
11256,,no_url,
11257,,no_url,
11258,,no_url,
11260,,no_url,
11261,,no_url,
11262,,no_url,
11263,,no_url,
11264,,no_url,
11265,,no_url,
11266,,no_url,
11267,,no_url,
11268,,no_url,
11270,,no_url,
11271,,no_url,
11272,,no_url,
11273,,no_url,
11274,,no_url,
11275,http://www.furrowfieldschool.uk,http_308,308
11276,www.ashfield.newcastle.sch.uk,host_not_exist,
11277,,no_url,
11278,,no_url,
11279,www.newburnmanornur.newcastle.sch.uk,host_not_exist,
11280,www.monkchesterroad.newcastle.sch.uk,host_not_exist,
11281,,no_url,
11282,,no_url,
11283,,no_url,
11284,,no_url,
11285,,no_url,
11288,www.southgosforth.newcastle.sch.uk,host_not_exist,
11290,,no_url,
11294,,no_url,
11295,,no_url,
11296,,no_url,
11297,,no_url,
11298,,no_url,
11299,,no_url,
11300,,no_url,
11301,,no_url,
11302,,no_url,
11303,,no_url,
11304,,no_url,
11306,,no_url,
11309,www.hawthorn.newcastle.sch.uk/,host_not_exist,
11311,,no_url,
11313,,no_url,
11316,,no_url,
11317,http://www.broadwoodprimary.co.uk/website,http_308,308
11318,,no_url,
11319,,no_url,
11320,,no_url,
11321,,no_url,
11322,,no_url,
11323,,no_url,
11325,www.stjohns.newcastle.sch.uk,host_not_exist,
11326,,no_url,
11327,,no_url,
11328,,no_url,
11329,,no_url,
11330,,no_url,
11331,,no_url,
11332,,no_url,
11333,,no_url,
11334,,no_url,
11335,,no_url,
11336,www.wingrove.newcastle.sch.uk,host_not_exist,
11337,,no_url,
11338,,no_url,
11339,,no_url,
11341,www.moorside.newcastle.sch.uk,host_not_exist,
11342,www.christchurch.newcastle.sch.uk,host_not_exist,
11343,,no_url,
11345,,no_url,
11346,,no_url,
11347,,no_url,
11348,,no_url,
11349,,no_url,
11350,,no_url,
11352,,no_url,
11353,,no_url,
11354,,no_url,
11355,,no_url,
11356,,no_url,
11357,,no_url,
11358,,no_url,
11359,,no_url,
11360,,no_url,
11361,,no_url,
11362,,no_url,
11363,,no_url,
11364,,no_url,
11365,,no_url,
11366,,no_url,
11367,,no_url,
11369,,no_url,
11371,,no_url,
11372,,no_url,
11373,,no_url,
11374,,no_url,
11375,,no_url,
11376,,no_url,
11377,,no_url,
11378,,no_url,
11379,,no_url,
11380,,no_url,
11381,,no_url,
11382,,no_url,
11383,,no_url,
11384,,no_url,
11385,,no_url,
11386,,no_url,
11388,,no_url,
11390,,no_url,
11392,,no_url,
11394,,no_url,
11395,,no_url,
11397,,no_url,
11399,,no_url,
11400,ncs.percyhedley.org.uk,host_not_exist,
11401,,no_url,
11402,,no_url,
11403,,no_url,
11404,,no_url,
11405,,no_url,
11406,,no_url,
11407,,no_url,
11408,,no_url,
11409,,no_url,
11410,,no_url,
11411,,no_url,
11413,,no_url,
11415,,no_url,
11416,,no_url,
11417,,no_url,
11419,,no_url,
